Index,Data
REAL,REAL
385,506.275
386,508.75
387,511.225
388,513.15
389,514.525
390,515.07495
391,514.525
392,513.425
393,512.6
394,512.32495
395,512.32495
396,512.32495
397,512.6
398,513.425
399,514.525
400,514.8
401,513.15
402,509.575
403,505.175
404,501.32498
405,498.57498
406,496.65
407,495
408,493.625
409,493.075
410,493.9
411,496.1
412,498.85
413,501.05
414,502.15
415,502.7
416,503.525
417,504.9
418,506.275
419,506.825
420,506
421,503.8
422,501.32498
423,500.22498
424,501.59998
425,505.175
426,509.85
427,514.8
428,519.75
429,524.7
430,529.375
431,533.225
432,535.7
433,536.525
434,535.975
435,534.875
436,534.32495
437,534.6
438,534.875
439,534.6
440,534.6
441,535.975
442,538.45
443,540.925
444,543.125
445,545.6
446,548.07495
447,549.175
448,547.8
449,544.5
450,541.2
451,539.55
452,539.55
453,539.82495
454,539.55
455,539.55
456,540.92505
457,543.125
458,544.225
459,543.125
460,540.92505
461,539.55
462,539.55
463,539.82495
464,539.275
465,538.175
466,537.625
467,538.45
468,540.92505
469,544.775
470,549.175
471,552.75
472,554.4
473,554.125
474,552.75
475,551.1
476,549.725
477,549.45
478,551.1
479,554.4
480,557.7
481,559.075
482,557.975
483,555.775
484,554.4
485,554.675
486,556.05
487,557.7
488,559.35
489,560.725
490,561.55
491,562.1
492,563.2
493,565.67505
494,569.525
495,574.2
496,578.875
497,582.725
498,585.2
499,586.3
500,586.57495
501,586.57495
502,586.85
503,587.675
504,589.05
505,590.425
506,591.25
507,591.8
508,592.625
509,594
510,595.65
511,597.3
512,598.675
513,599.225
514,598.95
515,598.95
516,600.6
517,604.175
518,608.575
519,612.15
520,613.525
521,612.425
522,610.225
523,608.85
524,609.125
525,610.225
526,610.775
527,609.95
528,607.475
529,603.625
530,598.95
531,594.275
532,590.7
533,589.325
534,590.7
535,594.275
536,598.95
537,603.625
538,607.2
539,608.85
540,608.575
541,607.475
542,606.65
543,606.1
544,605.275
545,604.175
546,603.625
547,603.9
548,604.17505
549,603.9
550,603.9
551,605.55
552,608.85
553,612.15
554,613.8
555,613.8
556,613.8
557,615.17505
558,617.65
559,619.85004
560,620.67505
561,620.125
562,619.025
563,618.75
564,620.125
565,622.6
566,625.07495
567,627
568,628.65
569,630.025
570,630.57495
571,630.025
572,628.65
573,627.275
574,626.45
575,625.9
576,625.075
577,623.7
578,622.05
579,620.4
580,618.75
581,617.375
582,616.55
583,616
584,614.9
585,612.425
586,608.85
587,605.275
588,602.8
589,601.7
590,601.42505
591,601.7
592,602.8
593,605.275
594,608.85
595,612.15
596,613.525
597,612.425
598,609.95
599,607.475
600,605.275
601,602.8
602,600.05
603,597.85
604,597.025
605,597.85
606,600.325
607,604.175
608,608.575
609,612.425
610,615.175
611,617.1
612,618.475
613,619.025
614,618.75
615,618.75
616,620.4
617,623.975
618,628.65
619,633.6
620,638.275
621,641.85
622,643.5
623,643.225
624,641.85
625,640.2
626,638.55
627,637.175
628,636.625
629,637.45
630,639.65
631,642.4
632,644.875
633,646.8
634,648.45
635,649.825
636,650.65
637,651.2
638,652.3
639,654.5
640,657.25
641,659.725
642,661.65
643,663.3
644,664.675
645,665.225
646,664.4
647,662.2
648,659.725
649,658.625
650,660
651,663.3
652,666.6
653,668.25
654,667.975
655,666.875
656,666.05
657,665.775
658,665.775
659,665.5
660,664.4
661,661.925
662,658.075
663,653.675
664,650.1
665,648.45
666,648.45
667,648.725
668,648.45
669,648.17505
670,648.45
671,648.45
672,646.8
673,643.5
674,640.2
675,638.55
676,638.55
677,638.82495
678,638.55
679,638.55
680,639.92505
681,642.4
682,644.875
683,647.075
684,649.825
685,653.4
686,656.975
687,659.725
688,661.92505
689,664.67505
690,668.25
691,671.82495
692,674.3
693,675.125
694,674.3
695,672.1
696,669.625
697,668.525
698,669.625
699,671.82495
700,673.2
701,673.2
702,672.92505
703,673.2
704,673.2
705,671.55
706,667.975
707,663.3
708,658.35
709,653.4
710,648.725
711,645.15
712,643.775
713,644.875
714,647.07495
715,648.45
716,648.175
717,647.075
718,646.25
719,645.975
720,645.975
721,645.975
722,646.25
723,647.075
724,648.175
725,648.45
726,646.8
727,643.5
728,639.92505
729,637.17505
730,634.975
731,632.5
732,630.025
733,628.925
734,630.3
735,633.6
736,637.175
737,639.65
738,640.75
739,641.025
740,641.025
741,641.3
742,642.39996
743,644.875
744,648.45
745,652.025
746,654.775
747,656.975
748,659.45
749,661.925
750,663.3
751,663.025
752,661.925
753,661.375
754,661.925
755,663.3
