Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
6/27/2008,13605.26,13605.56,13453.35,13544.36,127800
6/30/2008,13584.51,13598.48,13454.28,13481.38,123600
7/1/2008,13514.86,13576.41,13448.35,13463.2,121400
7/2/2008,13489.87,13489.87,13247.05,13286.37,136600
7/3/2008,13161.78,13326.95,13118.89,13265.4,154200
7/4/2008,13285.49,13288.55,13135.46,13237.89,117400
7/7/2008,13212.8,13409.3,13169.55,13360.04,107000
7/8/2008,13286.5,13294.97,12984.54,13033.1,121800
7/9/2008,13169.89,13284.65,13038.77,13052.13,123000
7/10/2008,12934.31,13139.85,12930.32,13067.21,120200
7/11/2008,13063.5,13164.1,12918.22,13039.69,146200
7/14/2008,13022.29,13185.9,12969.93,13010.16,123800
7/15/2008,12902.13,12902.13,12715.81,12754.56,118800
7/16/2008,12725.12,12815.4,12671.34,12760.8,122400
7/17/2008,12889.8,12929.74,12852.93,12887.95,111000
7/18/2008,12976.22,12999.64,12762.33,12803.7,113200
7/22/2008,12944.56,13184.96,12921.02,13184.96,112400
7/23/2008,13259.65,13388.63,13238.55,13312.93,127200
7/24/2008,13411.28,13603.31,13393.57,13603.31,126200
7/25/2008,13452.37,13469.83,13324.22,13334.76,109600
7/28/2008,13407.36,13468.94,13327.12,13353.78,93600
7/29/2008,13220.33,13220.33,13018.22,13159.45,106400
7/30/2008,13267.37,13372.28,13264.08,13367.79,109000
7/31/2008,13410.4,13467.67,13256.38,13376.81,137000
8/1/2008,13276.57,13294.17,13039.21,13094.59,135000
8/4/2008,13083.28,13113.94,12910.17,12933.18,142000
8/5/2008,12957.01,13049.58,12893.34,12914.66,144600
8/6/2008,13059.43,13295.51,13048.97,13254.89,156400
8/7/2008,13257.99,13257.99,13034.15,13124.99,136000
8/8/2008,13026.53,13259.73,12962.82,13168.41,162400
8/11/2008,13259.46,13468.81,13259.46,13430.91,113800
8/12/2008,13397.99,13420.1,13276.15,13303.6,125200
8/13/2008,13205.64,13205.64,12953.34,13023.05,125200
8/14/2008,12942.61,13090.68,12926.98,12956.8,116400
8/15/2008,12991.91,13029.58,12952.21,13019.41,94800
8/18/2008,12971.49,13270.37,12934.22,13165.45,114092
8/19/2008,13016.5,13016.5,12782.1,12865.05,103252
8/20/2008,12753.98,12923.66,12753.98,12851.69,110367
8/21/2008,12885.34,12885.34,12723.83,12752.21,105200
8/22/2008,12727.37,12732.69,12631.94,12666.04,87890
8/25/2008,12797.54,12949.33,12797.54,12878.66,86630
8/26/2008,12711.03,12801.21,12656.09,12778.71,87052
8/27/2008,12734.39,12783.63,12681.98,12752.96,86943
8/28/2008,12827.72,12847.46,12718.53,12768.25,89682
8/29/2008,12925.45,13079.37,12918.49,13072.87,120732
